Door;UPC;Model Code;Color Name Description;Color Code;Size;Category;Lens Color;Model Name Description;Suggested Retail Price;Wholesale Price;Lens Base;Lens Material;Photochromic;Polarized;Standard;Temple Length ;Bridge Size;Lens Witdth;Lens Height;Folding;Crystals;Rx-Service;Rx-Able;Flex;Geofit;Front Colour Family ;Shape;Type;Temple Material ;Front Material ;Best Seller;Range;Gender;Collection;Limited Edition;New;Advertising;Theme;Items;Brand Name;Brand Code;
0021002876;8053672572087;0AX3033F;BLUE NAVY;8197;54;Eyewear;DEMO LENS;;130.00;44.33;Base 4;;N;N;N;140;16;54.0;39.3;N;N;N;N;Y;;BLUE;Cat Eye;Full Rim;;Plastic;N;21-35;Woman;Optical;N;Y;N;URBAN ATTITUDE;ZPFN;Exchange Armani;AX;
0021002876;8053672572988;0AX2018S;MATTE GUNMETAL/BLACK;600687;59;Eyewear;GREY;;85.00;42.20;Base 6 Decentered;PLAST;N;N;Y;140;12;59.0;53.0;N;N;N;N;N;;BLACK;Pilot;Full Rim;;Metal;N;;Woman;Sun;N;Y;N;URBAN ATTITUDE;ZPFN;Exchange Armani;AX;
0021002876;8053672572971;0AX4054S;MATTE OLIVE;819587;55;Eyewear;GREY;;75.00;37.97;Base 6;PLAST;N;N;Y;140;18;55.0;44.0;N;N;N;N;N;;GREEN;Square;Full Rim;;Plastic;N;;Man;Sun;N;N;N;URBAN ATTITUDE;ZPFN;Exchange Armani;AX;
0021002876;8053672573022;0AX4053SF;BLUE;81928G;52;Eyewear;GREY GRADIENT;;75.00;37.97;Base 6;PLAST;N;N;Y;140;21;52.0;47.5;N;N;N;N;N;;BLUE;Round;Full Rim;;Plastic;N;;Woman;Sun;N;Y;N;URBAN ATTITUDE;ZPFN;Exchange Armani;AX;
0021002876;8053672627657;0AX4059S;TORTOISE;803713;55;Eyewear;BROWN GRADIENT;;75.00;37.97;Base 6;PLAST;N;N;Y;140;20;55.0;54.0;N;N;N;N;N;;HAVANA;Round;;;Plastic;N;;Woman;Sun;N;N;N;FOREVER YOUNG;ZPFN;Exchange Armani;AX;
0021002876;8053672644029;0AX3039F;MATTE HAVANA CASTOR GREY;8202;55;Eyewear;DEMO LENS;;120.00;40.32;Base 4;;N;N;N;145;18;55.0;40.3;N;N;N;N;Y;;GREEN;Square;;;Plastic;N;21-35;Man;Optical;N;N;N;URBAN ATTITUDE;ZPFN;Exchange Armani;AX;
0021002876;8053672644074;0AX3040F;MATTE TORTOISE;8208;53;Eyewear;DEMO LENS;;120.00;40.32;Base 4;;N;N;N;140;17;53.0;44.0;N;N;N;N;Y;;HAVANA;Phantos;;;Plastic;N;21-35;Woman;Optical;N;N;N;URBAN ATTITUDE;ZPFN;Exchange Armani;AX;
0021002876;8053672644128;0AX4057SF;TORTOISE;820895;55;Eyewear;ORANGE GRADIENT LIGHT GREY;;75.00;37.97;Base 6;PLAST;N;N;Y;140;21;55.0;50.4;N;N;N;N;N;;HAVANA;Phantos;;;Plastic;N;;Woman;Sun;N;N;N;URBAN ATTITUDE;ZPFN;Exchange Armani;AX;
0021002876;8053672644142;0AX4057SF;TRANSPARENT WATERMELON;820913;55;Eyewear;BROWN GRADIENT;;75.00;37.97;Base 6;PLAST;N;N;Y;140;21;55.0;50.4;N;N;N;N;N;;RED;Phantos;;;Plastic;N;;Woman;Sun;N;N;N;URBAN ATTITUDE;ZPFN;Exchange Armani;AX;
0021002876;8053672696592;0AX4063S;TR CHAMPAGNE/TOP MATTE HAVANA;82154Z;57;Eyewear;GREY MIRROR ROSE GOLD;;105.00;52.97;Base 6 Decentered;PLAST;N;N;Y;140;19;57.0;46.3;N;N;N;N;N;;HAVANA;Square;;;Plastic;N;21-35;Man;Sun;N;Y;N;;ZPFN;Exchange Armani;AX;
0021002876;8053672733754;0AX4063S;GREY/TOP MATTE GREY HAVANA;822081;57;Eyewear;POLAR GREY;;105.00;52.97;Base 6 Decentered;PLAST;N;Y;N;140;19;57.0;46.3;N;N;N;N;N;;GREY;Square;;;Plastic;N;21-35;Man;Sun;N;Y;N;;ZPFN;Exchange Armani;AX;
0021002876;8053672696172;0AX1022;MATTE BLUE;6095;55;Eyewear;DEMO LENS;;130.00;44.33;Base 4;;N;N;N;140;17;55.0;37.2;N;N;N;N;Y;;BLUE;Rectangle;;;Metal;N;21-35;Man;Optical;N;Y;N;;ZPFN;Exchange Armani;AX;
0021002876;8053672696394;0AX2020S;MATTE BLUE;609580;60;Eyewear;BLUE;;95.00;46.45;Base 6;PLAST;N;N;Y;140;14;60.0;55.1;N;N;N;N;N;;BLUE;Pilot;;;Metal;N;21-35;Man;Sun;N;Y;N;;ZPFN;Exchange Armani;AX;
0021002876;8053672696448;0AX2021S;BLUE;609780;58;Eyewear;BLUE;;95.00;46.45;Base 6;PLAST;N;N;Y;140;17;58.0;51.9;N;N;N;N;N;;BLUE;Square;;;Metal;N;21-35;Woman;Sun;N;Y;N;;ZPFN;Exchange Armani;AX;
0021002876;8053672696349;0AX3042;ELECTRIC BLUE/TOP MT BLUE;8219;54;Eyewear;DEMO LENS;;120.00;40.32;Base 4;;N;N;N;140;18;54.0;38.0;N;N;N;N;Y;;BLUE;Rectangle;;;Plastic;N;21-35;Man;Optical;N;Y;N;;ZPFN;Exchange Armani;AX;
0021002876;8053672740134;0AX3005F;HAVANA BLUE TWILIGHT;8206;53;Eyewear;DEMO LENS;;110.00;38.30;Base 4;;N;N;N;145;17;53.0;38.2;N;N;N;Y;Y;;BLUE;Square;Full Rim;Metal;Plastic;N;21-35;Woman;Optical;N;Y;N;FOREVER YOUNG;ZPFN;Exchange Armani;AX;
0021002876;8053672580914;0AX3016F;TORTOISE;8037;55;Eyewear;DEMO LENS;;110.00;38.30;Base 4;;N;N;N;145;17;55.0;39.3;N;N;N;Y;Y;;HAVANA;Square;Full Rim;Plastic;Plastic;N;21-35;Man;Optical;N;Y;N;URBAN ATTITUDE;ZPFN;Exchange Armani;AX;
0021002876;8053672364668;0AX1015;SATIN BLACK/BLK DK GREY TRANS;6070;52;Eyewear;DEMO LENS;;120.00;40.32;Base 4;;N;N;N;140;17;51.7;30.1;N;N;N;N;Y;;BLACK;Rectangle;Semi Rim;Plastic;Metal;Y;;Man;Optical;N;Y;N;;ZPFN;Exchange Armani;AX;
0021002876;8053672364590;0AX2013;SATIN BLACK/BLK DK GREY TRANS;607087;60;Eyewear;GREY SOLID;;75.00;37.97;Base 6;PLAST;N;N;Y;140;12;;;N;N;N;N;N;;BLACK;Pilot;Full Rim;Plastic;Metal;N;;Unisex;Sun;N;Y;N;;ZPFN;Exchange Armani;AX;
0021002876;8053672409963;0AX3021;MATTE RED;8155;54;Eyewear;DEMO LENS;;110.00;38.30;Base 4;;N;N;N;140;17;54.0;36.5;N;N;N;N;Y;;RED;Rectangle;Full Rim;;Plastic;N;21-35;Man;Optical;N;Y;N;URBAN ATTITUDE;ZPFN;Exchange Armani;AX;
0021002876;8053672409994;0AX3021;MATTE BLUE;8157;54;Eyewear;DEMO LENS;;110.00;38.30;Base 4;;N;N;N;140;17;54.0;36.5;N;N;N;N;Y;;BLUE;Rectangle;Full Rim;;Plastic;N;21-35;Man;Optical;N;Y;N;URBAN ATTITUDE;ZPFN;Exchange Armani;AX;
0021002876;8053672414424;0AX3024;BROWN;8159;52;Eyewear;DEMO LENS;;110.00;38.30;Base 4;;N;N;N;140;17;52.0;35.0;N;N;N;N;Y;;BROWN;Rectangle;Full Rim;;Plastic;N;;Woman;Optical;N;Y;N;;ZPFN;Exchange Armani;AX;
0021002876;8053672429572;0AX4042S;MATTE BLACK;807887;59;Eyewear;GREY;;85.00;42.20;Base 6 Decentered;PLAST;N;N;Y;140;15;59.0;47.7;N;N;N;Y;N;;BLACK;Pilot;Full Rim;;Plastic;N;;Man;Sun;N;Y;N;FOREVER YOUNG;ZPFN;Exchange Armani;AX;
0021002876;8053672429565;0AX4041S;MATTE BLUE;815787;58;Eyewear;GREY;;70.00;35.84;Base 6 Decentered;PLAST;N;N;Y;140;17;58.0;44.6;N;N;N;Y;N;;BLUE;Square;Full Rim;;Plastic;N;;Man;Sun;N;Y;N;URBAN ATTITUDE;ZPFN;Exchange Armani;AX;
0021002876;8053672463613;0AX4046S;BLUE NAVY MILKY;81728F;54;Eyewear;BLUE GRADIENT;;75.00;37.97;Base 6 Decentered;PLAST;N;N;Y;140;19;54.0;45.8;N;N;N;N;N;;BLUE;Square;Full Rim;;Plastic;N;;Woman;Sun;N;Y;N;;ZPFN;Exchange Armani;AX;
0021002876;8053672463323;0AX1017;BLACK;6000;54;Eyewear;DEMO LENS;;120.00;40.32;Base 4;;N;N;N;140;17;54.0;32.6;N;N;N;N;Y;;BLACK;Rectangle;Full Rim;;Metal;Y;;Man;Optical;N;Y;N;URBAN ATTITUDE;ZPFN;Exchange Armani;AX;
0021002876;8053672463514;0AX2016S;MATTE BROWN;608373;64;Eyewear;BROWN;;75.00;37.97;Base 8;PLAST;N;N;Y;130;15;64.0;47.3;N;N;N;N;N;;BROWN;Rectangle;Full Rim;;Metal;N;;Man;Sun;N;Y;N;URBAN ATTITUDE;ZPFN;Exchange Armani;AX;
0021002876;8053672464429;0AX4042SF;MATTE BLACK;807887;60;Eyewear;GREY;;85.00;42.20;Base 6 Decentered;PLAST;N;N;Y;140;15;60.0;48.5;N;N;N;N;N;;BLACK;Pilot;Full Rim;;Plastic;N;;Man;Sun;N;Y;N;FOREVER YOUNG;ZPFN;Exchange Armani;AX;
0021002876;8053672464498;0AX4032F;BLACK MT TRANS/DK GREY TRANS;814087;56;Eyewear;GREY SOLID;;65.00;33.72;Base 6;PLAST;N;N;Y;140;17;56.0;46.3;N;N;N;N;N;;BLACK;Pilot;Full Rim;Plastic;Plastic;N;;Man;Sun;N;Y;N;;ZPFN;Exchange Armani;AX;
0021002876;8053672463774;0AX4031F;BROWN/BRIGHT SPEARMINT TRANS;814613;55;Eyewear;SMOKE BROWN GRADIENT;;80.00;40.08;Base 6 Decentered;PLAST;N;N;Y;140;18;55.0;45.0;N;N;N;N;N;;BROWN;Rectangle;Full Rim;Plastic;Plastic;N;;Woman;Sun;N;Y;N;;ZPFN;Exchange Armani;AX;
